???,??,???
result_data,569,result-data-free-3110275
result_data,570,result-data-special-2333331
result_data,571,result-data-downWord-3960187
result_data,572,result-data-upWord-1845057
result_data,573,result-data-upWord-2623413
result_data,574,result-data-special-2071296
result_data,575,result-data-normalWord-3324843
result_data,576,result-data-normalWord-3960187
result_data,577,result-data-downWord-3960820
result_data,578,result-data-downWord-2623413
result_data,579,result-data-downWord-3627437
result_data,580,result-data-special-3273691
result_data,581,result-data-free-2637056
result_data,582,result-data-upWord-3960187
result_data,583,result-data-downWord-1206080
result_data,584,result-data-downWord-1168112
result_data,586,result-data-2146369
result_data,587,result-data-special-2071296
result_data,588,result-data-226061
result_data,589,result-data-free-3110275
result_data,590,result-data-normalWord-937444
result_data,591,result-data-upWord-2678297
result_data,592,result-data-special-3338224
result_data,593,result-data-3324843
result_data,594,result-data-273218
result_data,595,result-data-special-3110275
result_data,596,result-data-upWord-2119153
result_data,597,result-data-free-2177658
result_data,598,result-data-downWord-653443
result_data,599,result-data-upWord-1168112
result_data,600,result-data-free-2487758
result_data,601,result-data-normalWord-1113261
result_data,602,result-data-downWord-3777606
result_data,603,result-data-upWord-2162294
result_data,604,result-data-free-2377552
result_data,605,result-data-special-1113261
result_data,606,result-data-upWord-2623413
result_data,607,result-data-normalWord-672752
result_data,608,result-data-upWord-3273691
result_data,609,result-data-free-2416631
result_data,610,result-data-downWord-173748
result_data,611,result-data-normalWord-834928
result_data,612,result-data-special-173748
result_data,613,result-data-normalWord-3024418
result_data,614,result-data-upWord-653443
result_data,615,result-data-normalWord-3556707
result_data,616,result-data-free-3777606
result_data,617,result-data-free-261223
result_data,618,result-data-upWord-261223
result_data,619,result-data-normalWord-1113936
result_data,620,result-data-upWord-2177658
result_data,621,result-data-3392338
result_data,622,result-data-free-2746869
result_data,623,result-data-free-937444
result_data,624,result-data-upWord-552679
result_data,625,result-data-725035
result_data,626,result-data-normalWord-3960187
result_data,627,result-data-downWord-1206080
result_data,628,result-data-free-3556707
result_data,629,result-data-downWord-3024418
result_data,630,result-data-upWord-1845057
result_data,631,result-data-special-2492155
result_data,632,result-data-special-2678297
result_data,633,result-data-upWord-1113261
result_data,634,result-data-downWord-2177658
result_data,635,result-data-downWord-2637056
result_data,636,result-data-1259265
result_data,637,result-data-free-3024418
result_data,638,result-data-normalWord-273218
result_data,639,result-data-upWord-3324843
result_data,640,result-data-special-877423
result_data,641,result-data-normalWord-3749927
result_data,642,result-data-special-3749927
result_data,643,result-data-downWord-3749927
result_data,644,result-data-normalWord-3324843
result_data,645,result-data-normalWord-1168112
result_data,646,result-data-downWord-3627437
result_data,647,result-data-3273691
result_data,648,result-data-2637056
result_data,649,result-data-free-1845057
result_data,650,result-data-downWord-3960820
result_data,651,result-data-special-2146369
result_data,652,result-data-2333331
result_data,653,result-data-special-2333331
result_data,654,result-data-special-3273691
result_data,655,result-data-3960187
result_data,656,result-data-downWord-3960187
result_data,657,result-data-downWord-2623413
result_data,659,result-data-normalWord-511037
result_data,660,result-data-normalWord-914558
result_data,661,result-data-free-1259265
result_data,662,result-data-free-3024418
result_data,663,result-data-downWord-961547
result_data,664,result-data-free-3627437
result_data,665,result-data-upWord-226061
result_data,666,result-data-free-1206080
result_data,667,result-data-upWord-2623413
result_data,668,result-data-upWord-3273691
result_data,669,result-data-173748
result_data,670,result-data-free-2146369
result_data,671,result-data-normalWord-261223
result_data,672,result-data-special-672752
result_data,673,result-data-upWord-3960187
result_data,674,result-data-normalWord-971735
result_data,675,result-data-upWord-3749927
result_data,676,result-data-free-1113261
result_data,677,result-data-normalWord-3110275
result_data,678,result-data-146131
result_data,679,result-data-special-725035
result_data,680,result-data-special-2416631
result_data,681,result-data-special-2377552
result_data,682,result-data-free-511037
result_data,683,result-data-914558
result_data,684,result-data-downWord-264145
result_data,685,result-data-free-725035
result_data,686,result-data-free-767290
result_data,687,result-data-normalWord-2146369
result_data,688,result-data-upWord-2298362
result_data,689,result-data-upWord-3749927
result_data,690,result-data-normalWord-3024418
result_data,691,result-data-special-1113936
result_data,692,result-data-free-2333331
result_data,693,result-data-downWord-2298362
result_data,694,result-data-normalWord-2492155
result_data,695,result-data-special-653443
result_data,696,result-data-downWord-2487758
result_data,697,result-data-normalWord-1259265
result_data,698,result-data-downWord-2746869
result_data,699,result-data-normalWord-552679
result_data,700,result-data-free-256924
result_data,701,result-data-upWord-3024418
result_data,702,result-data-special-767290
result_data,703,result-data-downWord-146131
result_data,704,result-data-upWord-2492155
result_data,705,result-data-upWord-961547
result_data,706,result-data-normalWord-1113936
result_data,707,result-data-downWord-877423
result_data,708,result-data-226061
result_data,709,result-data-downWord-3392338
result_data,710,result-data-special-1113261
result_data,711,result-data-downWord-725035
result_data,712,result-data-upWord-2746869
result_data,713,result-data-upWord-2119153
result_data,714,result-data-upWord-2146369
result_data,715,result-data-downWord-3024418
result_data,716,result-data-special-2177658
result_data,717,result-data-downWord-2298362
result_data,718,result-data-downWord-2986259
result_data,719,result-data-normalWord-3556707
result_data,720,result-data-261223
result_data,721,result-data-upWord-1845057
result_data,722,result-data-special-3749927
result_data,723,result-data-upWord-1113261
result_data,724,result-data-special-877423
result_data,725,result-data-special-971735
result_data,726,result-data-free-3273691
result_data,727,result-data-downWord-2333331
result_data,728,result-data-special-1259265
result_data,729,result-data-normalWord-1113936
result_data,732,result-data-877423
result_data,733,result-data-normalWord-1538388
result_data,734,result-data-downWord-2075639
result_data,735,result-data-normalWord-2746869
result_data,736,result-data-special-552679
result_data,737,result-data-upWord-2416631
result_data,738,result-data-downWord-1113936
result_data,739,result-data-free-3324843
result_data,740,result-data-upWord-2377552
result_data,741,result-data-special-653443
result_data,742,result-data-834928
result_data,743,result-data-normalWord-1206080
result_data,744,result-data-special-2416631
result_data,745,result-data-free-1259265
result_data,746,result-data-767290
result_data,747,result-data-2075639
result_data,748,result-data-free-2377552
result_data,749,result-data-normalWord-273218
result_data,750,result-data-downWord-3749927
result_data,751,result-data-upWord-173748
result_data,752,result-data-special-3749927
result_data,753,result-data-downWord-961547
result_data,754,result-data-special-2162294
result_data,755,result-data-normalWord-3273691
result_data,756,result-data-upWord-2075639
result_data,757,result-data-normalWord-3024418
result_data,758,result-data-upWord-961547
result_data,759,result-data-downWord-264145
result_data,760,result-data-special-173748
result_data,761,result-data-free-725035
result_data,762,result-data-free-2492155
result_data,763,result-data-downWord-3324843
result_data,764,result-data-normalWord-3777606
result_data,765,result-data-special-725035
result_data,766,result-data-normalWord-2146369
result_data,767,result-data-3556707
result_data,768,result-data-special-971735
result_data,769,result-data-normalWord-672752
result_data,770,result-data-downWord-971735
result_data,771,result-data-1259265
result_data,772,result-data-free-3960187
